Competition,,Matchday,Date,Venue,For,,Result,Pos.,Minute,At score,Type of goal,Goal assist
,EFL Cup,Fourth Round,10/31/18,A,,West Ham,1:3,LW,16',0:1,Left-footed shot,
,,,,,,,,,54',0:2,Left-footed shot,
,Premier League,13,11/24/18,H,,Chelsea (3.),3:1,CF,54',3:0,Left-footed shot,Dele Alli
,Premier League,15,12/5/18,H,,Southampton (18.),3:1,LW,55',3:0,Right-footed shot,Harry Kane
,Premier League,16,12/8/18,A,,Leicester (9.),0:2,CF,45'+1,0:1,Left-footed shot,Serge Aurier
,EFL Cup,Quarter-Finals,12/19/18,A,,Arsenal,0:2,CF,20',0:1,Left-footed shot,Dele Alli
,Premier League,18,12/23/18,A,,Everton (8.),2:6,CF,27',1:1,Right-footed shot,
,,,,,,,,,61',2:5,Right-footed shot,Erik Lamela
,Premier League,19,12/26/18,H,,Bournemouth (8.),5:0,LW,23',2:0,Right-footed shot,Kyle Walker-Peters
,,,,,,,,,70',5:0,Right-footed shot,Lucas Moura
,Premier League,21,1/1/19,A,,Cardiff (16.),0:3,CF,26',0:3,Right-footed shot,Harry Kane
,FA Cup,Third Round,1/4/19,A,,Tranmere Rovers,0:7,LW,57',0:4,Left-footed shot,Oliver Skipp
,Premier League,24,1/30/19,H,,Watford (7.),2:1,CF,80',1:1,,Fernando Llorente
,Premier League,25,2/2/19,H,,Newcastle (14.),1:0,LW,83',1:0,,Fernando Llorente
,Premier League,26,2/10/19,H,,Leicester (11.),3:1,CF,90'+1,3:1,Left-footed shot,Moussa Sissoko
,Champions League,last 16,2/13/19,H,,Bor. Dortmund,3:0,CF,47',1:0,Right-footed shot,Jan Vertonghen
,Premier League,31,4/3/19,H,,Crystal Palace (14.),2:0,SS,55',1:0,Left-footed shot,Christian Eriksen
,Champions League,Quarter-Finals,4/9/19,H,,Man City,1:0,LW,78',1:0,Left-footed shot,Christian Eriksen
,Champions League,Quarter-Finals,4/17/19,A,,Man City,4:3,CF,7',1:1,Right-footed shot,
,,,,,,,,,10',1:2,Right-footed shot,Christian Eriksen
Season 19/20,,,,,,,,,,,,
,Premier League,5,9/14/19,H,,Crystal Palace (4.),4:0,CF,10',1:0,Left-footed shot,Toby Alderweireld
,,,,,,,,,23',3:0,Left-footed shot,Serge Aurier
,Champions League,Group Stage,10/1/19,H,,Bayern Munich,2:7,CF,12',1:0,Right-footed shot,Moussa Sissoko
,Champions League,Group Stage,10/22/19,H,,Red Star,5:0,LW,16',2:0,Left-footed shot,Erik Lamela
,,,,,,,,,44',3:0,Left-footed shot,Tanguy Ndombélé
